,course_code,campus,year,name,description,credits,is_honours,restrictions,equivalent_string,co-req_string,pre-req_string,courses_in_equivalent_string,courses_in_co-req_string,courses_in_pre-req_string,winter_term_1,winter_term_2,summer_term_1,summer_term_2,duration_terms,pre_req_json
0,ANTH 100,UBCO,2023,ANTH 100 Introduction to Cultural Anthropology,"An overview of social and cultural anthropology its origins, its distinctive methods and concepts, and its place in the contemporary world. A critical examination of human diversity and how social and cultural differences are produced and shaped by local and global patterns.",3,False,,,,,,,,True,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[]}"
1,ANTH 103,UBCO,2023,ANTH 103 Introduction to World Archaeology,"Peoples and cultures of prehistory. Examines archaeologists and their work in archaeological sites around the world, from the earliest evidence of humankind and hunting and gathering culture, to the emergence of civilization and state-level societies.",3,False,,,,,,,,True,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[]}"
2,ANTH 170,UBCO,2023,ANTH 170 Introduction to Linguistic Anthropology,"Exploration of human communication, both verbal and non-verbal. The structure, cognitive role, and social functions of the spoken languages of the world will be emphasized.",3,False,,,,,,,,True,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[]}"
3,ANTH 200,UBCO,2023,ANTH 200 Public Anthropology: Engagement and Advocacy,"Examines the range of approaches to public anthropology and how its methods and insights can be used to effect social change, encourage broader public conversation and debate, and respond to inequality, injustice, and human suffering.",3,False,,,,"Either (a) one of ANTH 100, ANTH 103 or (b) ANTH 170. (Second-year standing.)",,,"ANTH 100,ANTH 103,ANTH 170",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""OR"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":1,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 100"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 103"",""childNodes"":[]}]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 170"",""childNodes"":[]},{""type"":""INNER"",""subtype"":""Year"",""value"":""2"",""childNodes"":[]}]}"
4,ANTH 205,UBCO,2023,"ANTH 205 Gender, Sexuality, and the Body","An anthropological exploration of how understandings of gender, sex, and the body are culturally and historically shaped, with a focus on theory as well as case studies. How globalization and transnationalism are changing norms of gender and sexuality is also explored.",3,False,,,,(Second-year standing.),,,,False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""Year"",""value"":""2"",""childNodes"":[]}]}"
5,ANTH 218,UBCO,2023,"ANTH 218 Tourism, Desire and Difference","Anthropological approaches to tourism, the politics of cultural encounters, and how the desire for difference shapes peoples' everyday lives and pleasure travel.",3,False,,,,(Second-year standing.),,,,True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""Year"",""value"":""2"",""childNodes"":[]}]}"
6,ANTH 227,UBCO,2023,ANTH 227 Introduction to Medical Anthropology,"Overview of how social, cultural, historical, biological, and political-economic forces intersect to affect human health and disease. Biomedicine will be treated as only one among many efficacious systems of medical knowledge and how it is embedded in local and global forms of social inequalities will be explored in depth.",3,False,,,,(Second-year standing.),,,,True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""Year"",""value"":""2"",""childNodes"":[]}]}"
7,ANTH 245,UBCO,2023,ANTH 245 Culture and Environment,Introduction to environmental anthropology with an emphasis on the relationship of cultural systems to contemporary environmental issues. Includes material from the Okanagan region and diverse societies around the world. May include one or more local field trips.,3,False,,,,"One of ANTH 100, SUST 104.",,,"ANTH 100,SUST 104",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""OR"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 100"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""SUST 104"",""childNodes"":[]}]}"
8,ANTH 277,UBCO,2023,ANTH 277 Anthropology of Reading and Writing,"Critical inquiry into the development and role of reading and writing in cross-cultural context. Emphasis on the origins of writing from archaeological evidence, the impact of writing systems on societies past and present, the social functions of writing, and innovations in new media.",3,False,,,,(Second-year standing),,,,False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""INNER"",""value"":""Year"",""childNodes"":[{""type"":""INNER"",""subtype"":""Year"",""value"":""2"",""childNodes"":[]}]}"
9,ANTH 307,UBCO,2023,ANTH 307 Ethnographic Methods: Acquiring Research Skills,"What are ethnographic methods and how is anthropological research conducted? Topics include research design, relationships with study participants, field techniques, ethical debates, data analysis and presentation. The emphasis is on interactive, workshop-style group learning. Credit will be granted for only one of ANTH 307 or ANTH 407.",3,False,This course is restricted to students in year: >=3,,,"One of ANTH 100, ANTH 170, ANTH 200, ANTH 252. (Third-year standing.)",,,"ANTH 100,ANTH 170,ANTH 200,ANTH 252",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":1,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 100"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 170"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 200"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 252"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""Year"",""value"":""3"",""childNodes"":[]}]}"
10,ANTH 313,UBCO,2023,ANTH 313 Anthropology of Gender,"Nature of gender relations, their social and cultural expression, and theories of gender inequality drawn from anthropological research.",3,False,,,,ANTH 100.,,,ANTH 100,True,False,False,False,1,"{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""ANTH 100"",""childNodes"":[]}"
