CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup,IneligibleMajors,ReadIfHonours,Notes
AT_LEAST,3,-1,DATA101,,,,,
AT_LEAST,3,-1,STAT230,,,,,
AT_LEAST,3,-1,DATA301,1,,,,
AT_LEAST,3,-1,DATA311,1,,,,
AT_LEAST,6,-1,MATH100;MATH101;MATH200;MATH221;COSC111;COSC121;COSC221;COSC222;ECON102;APSC177;BIOL202;PSYO373;APSC254,,,,,
AT_LEAST,9,-1,STAT303;STAT401;DATA410;DATA419C;DATA310;DATA315;DATA448A;DATA448B;DATA405;DATA407,,,COSC;STAT,"If major is cosc/stat, do not read this",
AT_LEAST,12,-1,STAT303;STAT401;DATA410;DATA419C;DATA310;DATA315;DATA448A;DATA448B;COSC304;COSC322;COSC329;COSC344;COSC421;DATA405;DATA407,,,COSC;STAT,"If major is cosc/stat, do not read this",
AT_LEAST,12,-1,STAT303;STAT401;DATA410;DATA419C;DATA310;DATA315;DATA448A;DATA448B;DATA405;DATA407,,,!COSC,Only read if major is cosc. UL cosc courses not allowed.,
AT_LEAST,12,-1,DATA410;DATA419C;DATA310;DATA315;DATA448A;DATA448B;COSC304;COSC322;COSC329;COSC344;COSC421;DATA405;DATA407,,,!STAT,Only read if major is stat. UL stat courses not allowed.,
AT_LEAST,9,-1,DATA410;DATA419C;DATA310;DATA315;DATA448A;DATA448B;DATA405;DATA407,,,!STAT,Only read if major is stat. ONLY 3 UL COSC ELEC allowed.,
