CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup,IneligibleMajors,ReadIfHonours,Notes
AT_LEAST,6,1,MATH100;MATH101,,,,,
AT_LEAST,6,1,BIOL116;BIOL122;BIOL131;BIOL133;CHEM111;CHEM123;EESC111;EESC121;PHYS111;PHYS121,,,,,
AT_LEAST,3,1,COSC111;COSC122;COSC123,,,,,
AT_LEAST,3,1,COSC121,,,,,
AT_LEAST,3,1,DATA101,,,,,
AT_LEAST,6,1,ENGL109;ENGL112;ENGL113;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156;CORH203,,,,,
AT_LEAST,3,1,ELEC,,,,,
AT_LEAST,15,2,MATH200;MATH221;MATH220;MATH222;MATH225,,,,,
AT_LEAST,6,2,STAT203;STAT205,,,,,
AT_LEAST,9,2,ELEC,,,,,
AT_LEAST,3,3,DATA310,,,,,
AT_LEAST,12,3,MATH311;MATH319;MATH327;MATH350,,,,,
AT_LEAST,3,3,STAT303,,,,,
AT_LEAST,6,3,ELEC_UL_MATH_STAT,,,,,
AT_LEAST,6,3,ELEC_UL,,,,,
AT_LEAST,6,4,ELEC_UL_MATH_STAT,,,,,
AT_LEAST,18,4,ELEC,,,,,
AT_LEAST,6,4,ELEC_UL_SCI,,,,,
