CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup,IneligibleMajors,Notes
AT_LEAST,3,1,MATH100,,,,
AT_LEAST,3,1,MATH101,,,,
AT_LEAST,6,1,BIOL116;BIOL122;BIOL131;BIOL133;CHEM111;CHEM113;EESC111;EESC121;PHYS111;PHYS121,,,,
AT_LEAST,3,1,COSC111,,,,
AT_LEAST,3,1,COSC121,,,,
AT_LEAST,3,1,DATA101,,,,
AT_LEAST,6,1,ENGL109;ENGL112;ENGL113;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156;CORH203,,,,
AT_LEAST,3,1,ELEC,,,,
AT_LEAST,15,2,MATH200;MATH220;MATH221;MATH222;MATH225,,,,
AT_LEAST,6,2,STAT203;STAT205,,,,
AT_LEAST,3,2,COSC222,,,,
AT_LEAST,6,2,ELEC,,,,
AT_LEAST,9,3,DATA310;DATA311;DATA315,,,,
AT_LEAST,3,3,COSC304,,,,
AT_LEAST,3,3,STAT303,,,,
AT_LEAST,3,3,PHIL331,,,,
AT_LEAST,12,3,ELEC,,,,
AT_LEAST,24,4,DATA301;DATA405;DATA407;DATA410;STAT400;STAT401;COSC322;COSC329;MATH303;MATH307;STAT403;STAT406;COSC344;COSC421;PHYS420;MATH327;MATH409,,,,
AT_LEAST,6,4,DATA449,,,,
