Code,Name,Description,Vector,Credits,Price,Availability,Equivalences,Exclusion,Prereq1,Prereq2,Prereq3,Prereq4,Coreq1,Coreq2,isHonours,maxCredits
APSC171,Engineering Drawing and CAD/CAM,Orthographic projections; axonometric and perspective projections; dimensioning and tolerances; computer-aided design and modelling; introduction to rapid prototyping; team-based design project.,[3-0-2],3,,1;0;0;0,,,,,,,,,,
APSC172,Engineering Analysis I,Functions; limits; differentiation; applications of derivatives; integration; applications of definite integrals.,[3-0-1],3,,1;1;0;0,,,,,,,,,,
APSC173,Engineering Analysis II,Integrals and transcendental functions; techniques of integration; applications of integration; polar coordinates; infinite sequences and series; vectors and the geometry of space; and partial derivatives.,[3-0-1],3,,0;1;1;0,,,APSC172,,,,,,,
APSC177,Engineering Computation and Instrumentation,Computer systems; software development; operating systems; compilers; programming in a high-level language; selection and loop structures; functions; arrays; pointers; files; data acquisition; solving engineering problems with computer programs. ,[3-2*-0],3,,0;1;0;0,,,,,,,,,,
APSC178,"Electricity, Magnetism, and Waves",Coulomb's law; electric field; Gauss' law; electric potential; conductors; capacitance; electric currents; resistance; DC circuits; magnetic fields and forces; sources of magnetic fields; electromagnetic induction; mechanical waves; electromagnetic waves; light propagation; geometrical optics.,[4-0-2],4,,0;1;1;0,,,APSC172,,,,APSC173,,,
APSC179,Linear Algebra for Engineers,Systems of linear equations; Gaussian elimination; engineering application of linear algebra; matrix operations; special matrices; determinants; vector space; orthogonality; eigenvalues and eigenvectors; linear transformation. [,[3-0-0],3,,1;0;1;0,,,,,,,,,,
APSC180,Statics,Force vectors; Cartesian coordinate system; free body diagram; dot and cross products; forces equilibrium of particles; force and moment equilibrium of rigid bodies; analysis of trusses; frames and machines; friction; wedges; pulleys; and belts. Applications of linear algebra in statics.,,3,,1;0;1;0,,,APSC179,,,,,,,
APSC181,Dynamics,Kinematics of particles; curvilinear motion; normal-tangential; polar; cylindrical coordinates; force and acceleration; equation of motions; work and energy; conservation of energy. Introduction to rigid body dynamics.,,3,,1;0;1;0,,,APSC172,APSC180,,,APSC173,,,
APSC248,Engineering Analysis III,Multivariable functions; Lagrange multipliers; line integrals; surface integrals; volume integrals; divergence; curl; gradient; divergence and Stokes' theorems; engineering applications of vector field theory. Introduction to partial differential equations.,[3-0-1],2,,1;0;1;0,,,APSC173,APSC178,,,,,,
APSC253,Fluid Mechanics I,Fluid properties and fluid statics; principles of conservation of mass; momentum; and energy; laminar and turbulent flow; dimensional analysis; pipe flow; valves and fittings; flow measurements.,,3,,1;0;1;0,,,APSC180,APSC181,APSC248,,,,,
APSC254,Instrumentation and Data Analysis,"Data acquisition, sensors, instrumentation, measurement techniques and their limitations, experimental design, and data analysis; statistics, basic probability; application of statistics to data analysis.",,3,,1;0;0;0,,,APSC173,APSC178,,,,,,
BIOC211,Chemical and Biochemical Analysis,"Methods of measurement, statistical analysis and errors of measurement, method development and validation, the meaning of test results, accuracy, precision, analytical electrochemistry, biosensors, chemical separation, introduction to gas and liquid chromatography.",,3,,1;0;0;0,,CHEM211,CHEM113;CHEM123,PHYS121;PHYS122,,,,,,
BIOC304,Molecular Biochemistry I,"Principles of thermodynamics and reaction kinetics in biochemistry. Acid/base biochemistry. Structure and function of lipids, amino acids, proteins, carbohydrates, nucleotides, and nucleic acids. Enzyme kinetics.",,3,,1;0;0;0,,BIOL311,CHEM204;CHEM214,,,,,,,
BIOC403,Enzymology,"Enzyme kinetics: steady-state kinetic analyses, fast-reaction methods, kinetic isotope effects. Catalytic mechanisms: coenzymology, radical-mediated reactions, catalytic rate enhancements. Special topics: enzyme evolution, multifunctional enzymes, biocatalysis, protein engineering. ",,3,,0;1;0;0,CHEM403;CHEM413;CHEM569,,BIOC304;BIOL311,,,,,,,
